loss/actor,loss/critic1,loss/critic2,timestep
0.0018878827599692173,-1.0,-1.0,1000
0.0003345034101803326,-1.0,-1.0,2000
0.00022868990051210872,-1.0,-1.0,3000
0.0001819458737154487,-1.0,-1.0,4000
0.0001549689550156474,-1.0,-1.0,5000
0.00013484260690893308,-1.0,-1.0,6000
0.00011754236773413159,-1.0,-1.0,7000
0.00010833792728953993,-1.0,-1.0,8000
9.668288945249522e-05,-1.0,-1.0,9000
8.988069047336463e-05,-1.0,-1.0,10000
8.267916627664806e-05,-1.0,-1.0,11000
7.746563908585825e-05,-1.0,-1.0,12000
7.30327711498832e-05,-1.0,-1.0,13000
6.843688292065055e-05,-1.0,-1.0,14000
6.561731676629292e-05,-1.0,-1.0,15000
6.197093462833437e-05,-1.0,-1.0,16000
6.0153676797199316e-05,-1.0,-1.0,17000
5.6805663618433814e-05,-1.0,-1.0,18000
5.3646227032004397e-05,-1.0,-1.0,19000
5.330127517299842e-05,-1.0,-1.0,20000
5.1736572939262264e-05,-1.0,-1.0,21000
4.908515028364491e-05,-1.0,-1.0,22000
4.774532556984911e-05,-1.0,-1.0,23000
4.616619848093252e-05,-1.0,-1.0,24000
4.6015227024326915e-05,-1.0,-1.0,25000
4.283268051949555e-05,-1.0,-1.0,26000
4.3207515987887774e-05,-1.0,-1.0,27000
4.1376169079740136e-05,-1.0,-1.0,28000
4.1378076806722673e-05,-1.0,-1.0,29000
4.073332242478489e-05,-1.0,-1.0,30000
3.893501755737817e-05,-1.0,-1.0,31000
3.8232303535551094e-05,-1.0,-1.0,32000
3.7437850727655925e-05,-1.0,-1.0,33000
3.730762952000067e-05,-1.0,-1.0,34000
3.601917442938438e-05,-1.0,-1.0,35000
3.5974178994365396e-05,-1.0,-1.0,36000
3.480919058347353e-05,-1.0,-1.0,37000
3.433764077635713e-05,-1.0,-1.0,38000
3.391177195771891e-05,-1.0,-1.0,39000
3.32847031313578e-05,-1.0,-1.0,40000
3.315660252701486e-05,-1.0,-1.0,41000
3.238330420208516e-05,-1.0,-1.0,42000
3.182486651530783e-05,-1.0,-1.0,43000
3.131756733637305e-05,-1.0,-1.0,44000
3.104923939645235e-05,-1.0,-1.0,45000
3.0756427064261486e-05,-1.0,-1.0,46000
3.0285016790003292e-05,-1.0,-1.0,47000
2.969353806474827e-05,-1.0,-1.0,48000
3.0085604914347668e-05,-1.0,-1.0,49000
2.9051383717160216e-05,-1.0,-1.0,50000
2.8757375188433787e-05,-1.0,-1.0,51000
2.8340132093944747e-05,-1.0,-1.0,52000
2.8604772011021828e-05,-1.0,-1.0,53000
2.7605085129835094e-05,-1.0,-1.0,54000
2.822074574214637e-05,-1.0,-1.0,55000
2.7078077644546287e-05,-1.0,-1.0,56000
2.6966912015268437e-05,-1.0,-1.0,57000
2.6684384502004794e-05,-1.0,-1.0,58000
2.6648424422091936e-05,-1.0,-1.0,59000
2.6368952285338285e-05,-1.0,-1.0,60000
2.615904537378812e-05,-1.0,-1.0,61000
2.562608015068693e-05,-1.0,-1.0,62000
2.56635669738898e-05,-1.0,-1.0,63000
2.5204574189047e-05,-1.0,-1.0,64000
2.514237666946427e-05,-1.0,-1.0,65000
2.5482003720753717e-05,-1.0,-1.0,66000
2.4310319469805068e-05,-1.0,-1.0,67000
2.45564782853762e-05,-1.0,-1.0,68000
2.431139929649361e-05,-1.0,-1.0,69000
2.4391609031226818e-05,-1.0,-1.0,70000
2.3936955836688857e-05,-1.0,-1.0,71000
2.384550452370608e-05,-1.0,-1.0,72000
2.3487100001148063e-05,-1.0,-1.0,73000
2.3566306015709403e-05,-1.0,-1.0,74000
2.2960914096984175e-05,-1.0,-1.0,75000
2.3516003153417868e-05,-1.0,-1.0,76000
2.2876732238728452e-05,-1.0,-1.0,77000
2.280799120126178e-05,-1.0,-1.0,78000
2.2661379442070038e-05,-1.0,-1.0,79000
2.282548653602132e-05,-1.0,-1.0,80000
2.2500408944324613e-05,-1.0,-1.0,81000
2.231442777338083e-05,-1.0,-1.0,82000
2.209756461525102e-05,-1.0,-1.0,83000
2.1830160583704052e-05,-1.0,-1.0,84000
2.188126180044494e-05,-1.0,-1.0,85000
2.1658352776285037e-05,-1.0,-1.0,86000
2.1387515609603767e-05,-1.0,-1.0,87000
